height,weight,height2,linResids,quadResids
58,115,3364,2.41666666666676,-0.102941176470896
59,117,3481,0.966666666666627,-0.473109243697288
60,120,3600,0.516666666666641,-0.00940530058161771
61,123,3721,0.0666666666666444,0.28817065287663
62,126,3844,-0.383333333333353,0.419618616677484
63,129,3969,-0.833333333333348,0.384938590820947
64,132,4096,-1.28333333333334,0.184130575307019
65,135,4225,-1.73333333333334,-0.182805429864301
66,139,4356,-1.18333333333334,0.284130575306986
67,142,4489,-1.63333333333333,-0.41506140917912
68,146,4624,-1.08333333333333,-0.280381383322611
69,150,4761,-0.533333333333326,-0.311829347123495
70,154,4900,0.0166666666666775,-0.509405300581781
71,159,5041,1.56666666666668,0.126890756302552
72,164,5184,3.11666666666668,0.597058823529492
